katnr  tijd tumor
1      1  0
2      1  0
3      1  0
4      1  0
5      1  0
6      1  0
7      1  0
8      1  0
9      1  0
10     1  0
11     1  0
12     1  0
13     1  0
14     1  0
15     1  0
16     1  0
17     1  0
18     1  0
19     1  0
20     1  0
21     1  0
22     1  0
23     1  0
24     1  0
25     1  0
26     1  0
27     1  0
28     1  0
29     1  0
30     1  0
31     1  0
32     1  0
33     1  0
34     1  0
35     1  0
36     1  0
37     1  1
38     1  1
39     1  1
40     1  1
41     1  1
42     1  1
43     1  1
44     1  1
45     2  0
46     2  0
47     2  0
48     2  0
49     2  0
50     2  0
51     2  0
52     2  0
53     2  0
54     2  0
55     2  0
56     2  0
57     2  0
58     2  0
59     2  0
60     2  0
61     2  0
62     2  0
63     2  0
64     2  0
65     2  0
66     2  1
67     2  1
68     2  1
69     2  1
70     2  1
71     3  0
72     3  0
73     3  0
74     3  0
75     3  0
76     3  0
77     3  0
78     3  0
79     3  0
80     3  0
81     3  0
82     3  0
83     3  0
84     3  0
85     3  0
86     3  0
87     3  1
88     3  1
89     3  1
90     3  1
91     3  1
92     3  1
93     4  0
94     4  0
95     4  1
96     4  1
97     4  1
98     4  1
99     5  0
100    5  0
101    5  0
102    5  0
103    5  0
104    5  0
105    5  0
106    5  0
107    5  0
108    5  0
109    5  1
110    5  1
111    5  1
112    5  1
